"Downloaded on",01/02/2026,"20:55:03 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22congress%22%3A%5B%22119%22%5D%2C%22source%22%3A%22all%22%2C%22bill-status%22%3A%22law%22%7D

"Legislation Number",URL,Congress,Title,Sponsor,"Date of Introduction",Committees,"Latest Action","Latest Action Date","Number of Cosponsors","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amends Amendment"
"H.J.Res. 131",https://www.congress.gov/bill/119th-congress/house-joint-resolution/131,"119th Congress (2025-2026)","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to ""Coastal Plain Oil and Gas Leasing Program Record of Decision"".","Begich, Nicholas J. [Rep.-R-AK-At Large]",10/10/2025,"House - Natural Resources","Became Public Law No: 119-52.",12/11/2025,0,,,,,
"H.J.Res. 130",https://www.congress.gov/bill/119th-congress/house-joint-resolution/130,"119th Congress (2025-2026)","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to ""Buffalo Field Office Record of Decision and Approved Resource Management Plan Amendment"".","Hageman, Harriet M. [Rep.-R-WY-At Large]",10/08/2025,"House - Natural Resources","Became Public Law No: 119-51.",12/11/2025,1,,,,,
"H.J.Res. 106",https://www.congress.gov/bill/119th-congress/house-joint-resolution/106,"119th Congress (2025-2026)","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to ""Central Yukon Record of Decision and Approved Resource Management Plan"".","Begich, Nicholas J. [Rep.-R-AK-At Large]",07/14/2025,"House - Natural Resources","Became Public Law No: 119-50.",12/11/2025,0,,,,,
"H.J.Res. 105",https://www.congress.gov/bill/119th-congress/house-joint-resolution/105,"119th Congress (2025-2026)","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to ""North Dakota Field Office Record of Decision and Approved Resource Management Plan"".","Fedorchak, Julie [Rep.-R-ND-At Large]",07/10/2025,"House - Natural Resources","Became Public Law No: 119-49.",12/11/2025,0,,,,,
"H.J.Res. 104",https://www.congress.gov/bill/119th-congress/house-joint-resolution/104,"119th Congress (2025-2026)","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to ""Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment"".","Downing, Troy [Rep.-R-MT-2]",07/10/2025,"House - Natural Resources","Became Public Law No: 119-48.",12/11/2025,1,,,,,
"H.J.Res. 89",https://www.congress.gov/bill/119th-congress/house-joint-resolution/89,"119th Congress (2025-2026)","Providing congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""California State Motor Vehicle and Engine and Nonroad Engine Pollution Control Standards; The 'Omnibus' Low NOX Regulation; Waiver of Preemption; Notice of Decision"".","Obernolte, Jay [Rep.-R-CA-23]",04/02/2025,"House - Energy and Commerce","Became Public Law No: 119-17.",06/12/2025,32,,,,,
"H.J.Res. 88",https://www.congress.gov/bill/119th-congress/house-joint-resolution/88,"119th Congress (2025-2026)","Providing congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""California State Motor Vehicle and Engine Pollution Control Standards; Advanced Clean Cars II; Waiver of Preemption; Notice of Decision"".","Joyce, John [Rep.-R-PA-13]",04/02/2025,"House - Energy and Commerce","Became Public Law No: 119-16.",06/12/2025,41,,,,,
"H.J.Res. 87",https://www.congress.gov/bill/119th-congress/house-joint-resolution/87,"119th Congress (2025-2026)","Providing congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""California State Motor Vehicle and Engine Pollution Control Standards; Heavy-Duty Vehicle and Engine Emission Warranty and Maintenance Provisions; Advanced Clean Trucks; Zero Emission Airport Shuttle; Zero-Emission Power Train Certification; Waiver of Preemption; Notice of Decision"".","James, John [Rep.-R-MI-10]",04/02/2025,"House - Energy and Commerce","Became Public Law No: 119-15.",06/12/2025,24,,,,,
"H.J.Res. 75",https://www.congress.gov/bill/119th-congress/house-joint-resolution/75,"119th Congress (2025-2026)","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of Energy Efficiency and Renewable Energy, Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Commercial Refrigerators, Freezers, and Refrigerator-Freezers"".","Goldman, Craig [Rep.-R-TX-12]",03/10/2025,"House - Energy and Commerce","Became Public Law No: 119-9.",05/09/2025,13,,,,,
"H.J.Res. 61",https://www.congress.gov/bill/119th-congress/house-joint-resolution/61,"119th Congress (2025-2026)","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""National Emission Standards for Hazardous Air Pollutants: Rubber Tire Manufacturing"".","Griffith, H. Morgan [Rep.-R-VA-9]",02/25/2025,"House - Energy and Commerce","Became Public Law No: 119-14.",05/23/2025,20,,,,,
